,name,height,weight
0,alex,0.04,23.25
1,ajay,0.05,28.08
2,alice,0.04,31.48
3,ravi,0.04,29.28
4,joe,0.04,29.69
5,alex,0.04,23.25
6,ajay,0.05,28.08
7,alice,0.04,31.48
8,ravi,0.04,29.28
9,joe,0.04,29.69
10,alex,0.04,23.25
11,ajay,0.05,28.08
12,alice,0.04,31.48
13,ravi,0.04,29.28
14,joe,0.04,29.69
15,jack,0.04,25.37
16,tom,0.04,29.11
17,tracy,0.05,28.08
18,john,0.04,23.12
19,jack,0.04,25.37
20,tom,0.04,29.11
21,tracy,0.05,28.08
22,john,0.04,23.12
23,jack,0.04,25.37
24,tom,0.04,29.11
25,tracy,0.05,28.08
26,john,0.04,23.12
27,simon,0.04,23.12
28,jacob,0.04,24.83
29,cindy,0.04,26.22
30,ivan,0.04,23.48
31,simon,0.04,23.12
32,jacob,0.04,24.83
33,cindy,0.04,26.22
34,ivan,0.04,23.48
35,simon,0.04,23.12
36,jacob,0.04,24.83
37,cindy,0.04,26.22
38,ivan,0.04,23.48
